"time_period","rainfall","mean_temperature","disease_cases","population","location","Cases","E","week","ID_year","ID_spat","rainsum","meantemperature"
"2023-08",25.3,25.3,88,910939.3,"at6UHUQatSo",88,200000,35,2023,"at6UHUQatSo",25.3,25.3
"2023-09",25.7,25.7,146,910939.3,"at6UHUQatSo",146,200000,39,2023,"at6UHUQatSo",25.7,25.7
"2023-10",26.1,26.1,94,910939.3,"at6UHUQatSo",94,200000,44,2023,"at6UHUQatSo",26.1,26.1
"2023-11",26.7,26.7,160,910939.3,"at6UHUQatSo",160,200000,48,2023,"at6UHUQatSo",26.7,26.7
"2023-12",27.1,27.1,105,910939.3,"at6UHUQatSo",105,200000,52,2023,"at6UHUQatSo",27.1,27.1
"2023-05",26.5,26.5,52,273590,"bL4ooGhyHRQ",52,200000,22,2023,"bL4ooGhyHRQ",26.5,26.5
"2023-06",25.1,25.1,98,273590,"bL4ooGhyHRQ",98,200000,26,2023,"bL4ooGhyHRQ",25.1,25.1
"2023-07",24.8,24.8,98,273590,"bL4ooGhyHRQ",98,200000,31,2023,"bL4ooGhyHRQ",24.8,24.8
"2023-08",24.8,24.8,31,273590,"bL4ooGhyHRQ",31,200000,35,2023,"bL4ooGhyHRQ",24.8,24.8
"2023-09",24.9,24.9,87,273590,"bL4ooGhyHRQ",87,200000,39,2023,"bL4ooGhyHRQ",24.9,24.9
"2023-10",25.3,25.3,49,273590,"bL4ooGhyHRQ",49,200000,44,2023,"bL4ooGhyHRQ",25.3,25.3
"2023-11",25.8,25.8,126,273590,"bL4ooGhyHRQ",126,200000,48,2023,"bL4ooGhyHRQ",25.8,25.8
"2023-12",26.5,26.5,38,273590,"bL4ooGhyHRQ",38,200000,52,2023,"bL4ooGhyHRQ",26.5,26.5
"2023-05",26.5,26.5,88,409117.1,"eIQbndfxQMb",88,200000,22,2023,"eIQbndfxQMb",26.5,26.5
"2023-06",24.8,24.8,175,409117.1,"eIQbndfxQMb",175,200000,26,2023,"eIQbndfxQMb",24.8,24.8
"2023-07",24.5,24.5,160,409117.1,"eIQbndfxQMb",160,200000,31,2023,"eIQbndfxQMb",24.5,24.5
"2023-08",24.3,24.3,64,409117.1,"eIQbndfxQMb",64,200000,35,2023,"eIQbndfxQMb",24.3,24.3
"2023-09",24.7,24.7,102,409117.1,"eIQbndfxQMb",102,200000,39,2023,"eIQbndfxQMb",24.7,24.7
"2023-10",25,25,93,409117.1,"eIQbndfxQMb",93,200000,44,2023,"eIQbndfxQMb",25,25
"2023-11",25.5,25.5,175,409117.1,"eIQbndfxQMb",175,200000,48,2023,"eIQbndfxQMb",25.5,25.5
"2023-12",25.9,25.9,103,409117.1,"eIQbndfxQMb",103,200000,52,2023,"eIQbndfxQMb",25.9,25.9
"2023-05",27.8,27.8,125,469625.4,"fdc6uOvgoji",125,200000,22,2023,"fdc6uOvgoji",27.8,27.8
"2023-06",26,26,173,469625.4,"fdc6uOvgoji",173,200000,26,2023,"fdc6uOvgoji",26,26
"2023-07",25.3,25.3,169,469625.4,"fdc6uOvgoji",169,200000,31,2023,"fdc6uOvgoji",25.3,25.3
"2023-08",25.1,25.1,73,469625.4,"fdc6uOvgoji",73,200000,35,2023,"fdc6uOvgoji",25.1,25.1
"2023-09",25.5,25.5,139,469625.4,"fdc6uOvgoji",139,200000,39,2023,"fdc6uOvgoji",25.5,25.5
"2023-10",25.9,25.9,122,469625.4,"fdc6uOvgoji",122,200000,44,2023,"fdc6uOvgoji",25.9,25.9
"2023-11",26.6,26.6,190,469625.4,"fdc6uOvgoji",190,200000,48,2023,"fdc6uOvgoji",26.6,26.6
"2023-12",27.1,27.1,74,469625.4,"fdc6uOvgoji",74,200000,52,2023,"fdc6uOvgoji",27.1,27.1
"2023-05",26.4,26.4,75,420809.1,"jUb8gELQApl",75,200000,22,2023,"jUb8gELQApl",26.4,26.4
"2023-06",24.7,24.7,95,420809.1,"jUb8gELQApl",95,200000,26,2023,"jUb8gELQApl",24.7,24.7
"2023-07",24.5,24.5,112,420809.1,"jUb8gELQApl",112,200000,31,2023,"jUb8gELQApl",24.5,24.5
"2023-08",24.2,24.2,52,420809.1,"jUb8gELQApl",52,200000,35,2023,"jUb8gELQApl",24.2,24.2
"2023-09",24.5,24.5,71,420809.1,"jUb8gELQApl",71,200000,39,2023,"jUb8gELQApl",24.5,24.5
"2023-10",24.9,24.9,59,420809.1,"jUb8gELQApl",59,200000,44,2023,"jUb8gELQApl",24.9,24.9
"2023-11",25.2,25.2,145,420809.1,"jUb8gELQApl",145,200000,48,2023,"jUb8gELQApl",25.2,25.2
"2023-12",25.5,25.5,58,420809.1,"jUb8gELQApl",58,200000,52,2023,"jUb8gELQApl",25.5,25.5
"2023-05",26.9,26.9,78,310353,"jmIPBj66vD6",78,200000,22,2023,"jmIPBj66vD6",26.9,26.9
"2023-06",25.3,25.3,126,310353,"jmIPBj66vD6",126,200000,26,2023,"jmIPBj66vD6",25.3,25.3
"2023-07",24.9,24.9,138,310353,"jmIPBj66vD6",138,200000,31,2023,"jmIPBj66vD6",24.9,24.9
"2023-08",24.9,24.9,54,310353,"jmIPBj66vD6",54,200000,35,2023,"jmIPBj66vD6",24.9,24.9
"2023-09",25.2,25.2,100,310353,"jmIPBj66vD6",100,200000,39,2023,"jmIPBj66vD6",25.2,25.2
"2023-10",25.5,25.5,61,310353,"jmIPBj66vD6",61,200000,44,2023,"jmIPBj66vD6",25.5,25.5
"2023-11",26.1,26.1,124,310353,"jmIPBj66vD6",124,200000,48,2023,"jmIPBj66vD6",26.1,26.1
"2023-12",26.7,26.7,72,310353,"jmIPBj66vD6",72,200000,52,2023,"jmIPBj66vD6",26.7,26.7
"2023-05",26.2,26.2,108,584457.7,"kJq2mPyFEHo",108,200000,22,2023,"kJq2mPyFEHo",26.2,26.2
"2023-06",24.6,24.6,163,584457.7,"kJq2mPyFEHo",163,200000,26,2023,"kJq2mPyFEHo",24.6,24.6
"2023-07",24.4,24.4,170,584457.7,"kJq2mPyFEHo",170,200000,31,2023,"kJq2mPyFEHo",24.4,24.4
"2023-08",24.2,24.2,71,584457.7,"kJq2mPyFEHo",71,200000,35,2023,"kJq2mPyFEHo",24.2,24.2
"2023-09",24.5,24.5,126,584457.7,"kJq2mPyFEHo",126,200000,39,2023,"kJq2mPyFEHo",24.5,24.5
"2023-10",24.9,24.9,88,584457.7,"kJq2mPyFEHo",88,200000,44,2023,"kJq2mPyFEHo",24.9,24.9
"2023-11",25.3,25.3,170,584457.7,"kJq2mPyFEHo",170,200000,48,2023,"kJq2mPyFEHo",25.3,25.3
"2023-12",25.7,25.7,86,584457.7,"kJq2mPyFEHo",86,200000,52,2023,"kJq2mPyFEHo",25.7,25.7
"2023-05",27.1,27.1,46,169242,"lc3eMKXaEfw",46,200000,22,2023,"lc3eMKXaEfw",27.1,27.1
"2023-06",25.6,25.6,69,169242,"lc3eMKXaEfw",69,200000,26,2023,"lc3eMKXaEfw",25.6,25.6
"2023-07",25.2,25.2,84,169242,"lc3eMKXaEfw",84,200000,31,2023,"lc3eMKXaEfw",25.2,25.2
"2023-08",25.2,25.2,42,169242,"lc3eMKXaEfw",42,200000,35,2023,"lc3eMKXaEfw",25.2,25.2
"2023-09",25.4,25.4,64,169242,"lc3eMKXaEfw",64,200000,39,2023,"lc3eMKXaEfw",25.4,25.4
"2023-10",25.8,25.8,50,169242,"lc3eMKXaEfw",50,200000,44,2023,"lc3eMKXaEfw",25.8,25.8
"2023-11",26.4,26.4,86,169242,"lc3eMKXaEfw",86,200000,48,2023,"lc3eMKXaEfw",26.4,26.4
"2023-12",27,27,38,169242,"lc3eMKXaEfw",38,200000,52,2023,"lc3eMKXaEfw",27,27
"2023-05",26.3,26.3,55,307408.8,"qhqAxPSTUXp",55,200000,22,2023,"qhqAxPSTUXp",26.3,26.3
"2023-06",24.6,24.6,80,307408.8,"qhqAxPSTUXp",80,200000,26,2023,"qhqAxPSTUXp",24.6,24.6
"2023-07",23.9,23.9,86,307408.8,"qhqAxPSTUXp",86,200000,31,2023,"qhqAxPSTUXp",23.9,23.9
"2023-08",23.8,23.8,25,307408.8,"qhqAxPSTUXp",25,200000,35,2023,"qhqAxPSTUXp",23.8,23.8
"2023-09",24.2,24.2,60,307408.8,"qhqAxPSTUXp",60,200000,39,2023,"qhqAxPSTUXp",24.2,24.2
"2023-10",24.7,24.7,44,307408.8,"qhqAxPSTUXp",44,200000,44,2023,"qhqAxPSTUXp",24.7,24.7
"2023-11",25.2,25.2,89,307408.8,"qhqAxPSTUXp",89,200000,48,2023,"qhqAxPSTUXp",25.2,25.2
"2023-12",25.6,25.6,44,307408.8,"qhqAxPSTUXp",44,200000,52,2023,"qhqAxPSTUXp",25.6,25.6
